feature,importance
current_score,0.20370859286323623
yields_production,0.19482042770180463
score_rank,0.06977743747303265
population_rank,0.06918809439904294
yields_culture,0.056807511612153444
game_turn,0.050988280188383264
development_index,0.04929579964424426
population_per_city,0.04606593195634107
science_rank,0.04055873348238747
cities_rank,0.03867738485050349
num_cities,0.03401936165023807
population,0.03289533571651819
buildings_per_city,0.03014890570079045
techs,0.0244869085928392
civics,0.02068697498691953
yields_science,0.01786957134173002
science_per_city,0.010103798316274297
buildings,0.00580343232951951
districts,0.004097517194041241
